src,dst,weight
Alphabet City,Gramercy,17
Seaport,Washington Heights North,17
Manhattan Valley,JFK Airport,17
Penn Station/Madison Sq West,Murray Hill,17
Battery Park City,Union Sq,17
Two Bridges/Seward Park,Greenwich Village North,17
Newark Airport,Battery Park,17
Astoria,Midtown North,17
LaGuardia Airport,Manhattan Valley,17
Meatpacking/West Village West,Central Park,17
Flatiron,Lower East Side,17
Upper West Side South,Lenox Hill West,17
Financial District South,Stuy Town/Peter Cooper Village,17
Washington Heights North,Central Harlem,17
Washington Heights North,Lenox Hill West,17
SoHo,Lenox Hill East,17
Manhattan Valley,West Village,17
Yorkville East,Lenox Hill West,17
Bedford,Financial District South,17
West Village,Hudson Sq,17
Yorkville West,Brooklyn Heights,17
Upper East Side North,World Trade Center,17
Central Harlem,Penn Station/Madison Sq West,17
Upper West Side South,Midtown East,17
Midtown East,Upper East Side North,17
Yorkville West,Battery Park City,17
Manhattan Valley,Washington Heights South,17
Clinton West,Lincoln Square West,17
Union Sq,Gramercy,17
TriBeCa/Civic Center,LaGuardia Airport,17
Seaport,Bloomingdale,17
Murray Hill,Gramercy,17
Midtown North,Gramercy,17
Lenox Hill West,Seaport,17
Times Sq/Theatre District,Lower East Side,17
Greenwich Village South,SoHo,17
Meatpacking/West Village West,Lower East Side,17
Upper West Side North,Washington Heights North,17
Union Sq,SoHo,17
Sutton Place/Turtle Bay North,Astoria,17
Lenox Hill East,Garment District,17
Garment District,Bloomingdale,17
Brooklyn Heights,Lenox Hill West,17
Battery Park City,Astoria,17
Astoria,Seaport,17
Lincoln Square East,Penn Station/Madison Sq West,17
World Trade Center,Central Harlem,17
Battery Park,Central Harlem,17
Washington Heights South,LaGuardia Airport,17
Seaport,Seaport,17
Bedford,Gramercy,17
Union Sq,Upper East Side North,17
Upper East Side South,Stuy Town/Peter Cooper Village,17
Penn Station/Madison Sq West,Financial District South,17
Financial District North,Brooklyn Heights,17
East Harlem North,Upper East Side North,17
Stuy Town/Peter Cooper Village,Brooklyn Heights,17
Battery Park City,Financial District North,17
Newark Airport,Greenwich Village South,17
Bushwick South,LaGuardia Airport,17
Central Park,Brooklyn Heights,17
Greenwich Village North,Financial District South,17
Murray Hill,Yorkville East,17
Midtown Center,Bedford,17
Greenwich Village North,Washington Heights North,17
World Trade Center,Battery Park,17
Bloomingdale,JFK Airport,17
Seaport,Lower East Side,17
Midtown Center,Union Sq,17
Midtown South,Times Sq/Theatre District,17
Clinton West,Upper East Side North,17
West Chelsea/Hudson Yards,Bedford,17
East Harlem North,World Trade Center,17
Times Sq/Theatre District,Astoria,17
West Village,East Harlem North,17
Clinton West,Two Bridges/Seward Park,17
Lower East Side,Lower East Side,17
Greenwich Village North,East Harlem North,17
Garment District,Lenox Hill West,17
Clinton East,LaGuardia Airport,17
Battery Park,Brooklyn Heights,17
East Village,World Trade Center,17
Manhattan Valley,Lincoln Square West,17
Central Park,Murray Hill,17
Two Bridges/Seward Park,Lenox Hill East,17
East Harlem North,Brooklyn Heights,17
Midtown Center,Sutton Place/Turtle Bay North,17
Gramercy,Financial District North,17
TriBeCa/Civic Center,Bushwick South,17
Yorkville East,Manhattan Valley,17
LaGuardia Airport,SoHo,17
LaGuardia Airport,TriBeCa/Civic Center,17
East Chelsea,Gramercy,17
Manhattan Valley,Lower East Side,17
Bloomingdale,Clinton East,17
SoHo,Upper East Side South,17
Times Sq/Theatre District,East Harlem North,17
Greenwich Village South,Battery Park,17
Lincoln Square West,Astoria,17
Midtown South,Lenox Hill West,17
Alphabet City,Washington Heights South,17
Two Bridges/Seward Park,West Chelsea/Hudson Yards,17
Stuy Town/Peter Cooper Village,Seaport,17
Stuy Town/Peter Cooper Village,Washington Heights South,17
Flatiron,Hudson Sq,17
Lincoln Square East,Bushwick South,17
Washington Heights North,Lincoln Square East,17
Lincoln Square West,Battery Park,17
Gramercy,Two Bridges/Seward Park,17
Upper East Side South,Bushwick South,17
Clinton West,Union Sq,17
Upper West Side South,Yorkville West,17
SoHo,TriBeCa/Civic Center,17
Midtown North,TriBeCa/Civic Center,17
Midtown Center,Bloomingdale,17
Upper East Side South,Flatiron,17
Central Harlem,Battery Park City,17
Bloomingdale,East Harlem North,17
Upper East Side North,UN/Turtle Bay South,17
Garment District,Lincoln Square East,17
Lenox Hill East,Upper West Side North,17
Newark Airport,Midtown East,17
Lincoln Square West,Greenwich Village South,17
Newark Airport,Gramercy,17
West Chelsea/Hudson Yards,Murray Hill,17
East Chelsea,Union Sq,17
East Chelsea,Brooklyn Heights,17
Battery Park,Midtown Center,17
Midtown North,Lincoln Square West,17
Greenwich Village South,East Chelsea,17
Upper West Side North,Garment District,17
Garment District,Clinton West,17
Greenwich Village South,LaGuardia Airport,17
Greenwich Village South,Times Sq/Theatre District,17
Washington Heights South,Lenox Hill East,17
Stuy Town/Peter Cooper Village,Upper East Side South,17
Battery Park,JFK Airport,17
Upper East Side South,Upper East Side South,17
Two Bridges/Seward Park,Midtown Center,17
Murray Hill,Central Park,17
Hudson Sq,Alphabet City,17
Midtown Center,Gramercy,17
West Village,Alphabet City,17
Stuy Town/Peter Cooper Village,Manhattan Valley,17
Washington Heights South,JFK Airport,17
Central Harlem,East Chelsea,17
Alphabet City,Upper West Side North,17
Clinton East,Flatiron,17
Midtown South,TriBeCa/Civic Center,17
Greenwich Village South,Stuy Town/Peter Cooper Village,17
Upper West Side North,Battery Park,17
Central Park,Lincoln Square East,17
Stuy Town/Peter Cooper Village,Hudson Sq,17
Financial District North,Washington Heights South,17
Central Park,Times Sq/Theatre District,17
Brooklyn Heights,Lincoln Square East,17
Battery Park,Battery Park City,17
Greenwich Village South,Lincoln Square East,17
East Chelsea,Central Park,17
West Chelsea/Hudson Yards,East Village,17
Hudson Sq,SoHo,17
Midtown North,Clinton West,17
Yorkville West,Yorkville West,17
Midtown Center,Upper West Side South,17
Flatiron,Lincoln Square East,17
Lincoln Square West,Meatpacking/West Village West,16
Penn Station/Madison Sq West,Clinton East,16
Sutton Place/Turtle Bay North,Two Bridges/Seward Park,16
Bushwick South,East Harlem North,16
Midtown South,JFK Airport,16
Greenwich Village North,Upper East Side South,16
Flatiron,Two Bridges/Seward Park,16
Financial District North,UN/Turtle Bay South,16
Garment District,Astoria,16
World Trade Center,Lower East Side,16
Times Sq/Theatre District,Times Sq/Theatre District,16
Bloomingdale,East Village,16
Union Sq,Midtown Center,16
Lenox Hill West,Lenox Hill East,16
Manhattan Valley,East Harlem North,16
Flatiron,Central Park,16
East Chelsea,SoHo,16
Stuy Town/Peter Cooper Village,Midtown South,16
Hudson Sq,Clinton West,16
Bloomingdale,Newark Airport,16
Bedford,Meatpacking/West Village West,16
Lincoln Square East,Bedford,16
Greenwich Village North,Lenox Hill East,16
Yorkville East,LaGuardia Airport,16
Hudson Sq,East Harlem North,16
Greenwich Village South,Union Sq,16
Upper West Side South,Seaport,16
Midtown South,Midtown Center,16
Flatiron,Newark Airport,16
TriBeCa/Civic Center,Midtown East,16
Lincoln Square West,Upper East Side South,16
Clinton East,Lenox Hill West,16
Upper East Side South,Washington Heights South,16
Clinton East,Financial District North,16
Midtown North,Midtown Center,16
Clinton West,Hudson Sq,16
Astoria,Upper West Side South,16
Greenwich Village South,Upper East Side North,16
East Village,Gramercy,16
Bedford,Clinton West,16
Yorkville East,JFK Airport,16
East Village,Washington Heights North,16
West Village,Lenox Hill East,16
Battery Park City,Gramercy,16
Flatiron,Greenwich Village North,16
Bushwick South,Astoria,16
JFK Airport,Stuy Town/Peter Cooper Village,16
Bedford,Flatiron,16
LaGuardia Airport,Lincoln Square East,16
Central Park,Penn Station/Madison Sq West,16
World Trade Center,Lenox Hill East,16
West Village,Clinton West,16
Lower East Side,Two Bridges/Seward Park,16
East Chelsea,Two Bridges/Seward Park,16
Yorkville West,Garment District,16
Bushwick South,Central Harlem,16
Alphabet City,West Village,16
Bloomingdale,Bloomingdale,16
Brooklyn Heights,Central Park,16
Upper East Side North,Battery Park,16
Murray Hill,Washington Heights South,16
Astoria,Astoria,16
Bushwick South,Battery Park,16
East Chelsea,Newark Airport,16
Bedford,Alphabet City,16
Lincoln Square West,Brooklyn Heights,16
Union Sq,Lower East Side,16
JFK Airport,Yorkville West,16
East Village,Lincoln Square West,16
Upper West Side South,World Trade Center,16
Bloomingdale,Lenox Hill East,16
Upper East Side North,Upper East Side South,16
Union Sq,Central Park,16
East Harlem North,Lenox Hill East,16
Clinton West,Gramercy,16
Washington Heights South,Gramercy,16
Central Harlem,Yorkville East,16
Gramercy,Alphabet City,16
Washington Heights North,Midtown Center,16
Bedford,Battery Park City,16
Garment District,Penn Station/Madison Sq West,16
Financial District North,West Village,16
Manhattan Valley,Upper East Side North,16
Bloomingdale,Lower East Side,16
Lincoln Square West,Manhattan Valley,16
Midtown South,Yorkville West,16
Lenox Hill East,Lower East Side,16
Lenox Hill East,Lincoln Square East,16
SoHo,Clinton East,16
Upper West Side South,Alphabet City,16
Hudson Sq,Manhattan Valley,16
Washington Heights South,Stuy Town/Peter Cooper Village,16
Midtown North,Greenwich Village North,16
Upper West Side South,SoHo,16
Seaport,West Village,16
Midtown East,Union Sq,16
Financial District South,SoHo,16
West Chelsea/Hudson Yards,Upper West Side North,16
Lower East Side,Sutton Place/Turtle Bay North,16
Midtown North,Financial District South,16
East Village,Flatiron,16
Upper West Side South,Clinton East,16
Sutton Place/Turtle Bay North,Financial District North,16
Washington Heights North,Alphabet City,16
Lincoln Square East,Sutton Place/Turtle Bay North,16
Central Park,LaGuardia Airport,16
Two Bridges/Seward Park,Greenwich Village South,16
Yorkville East,Upper East Side South,16
Lincoln Square East,Midtown North,16
Upper East Side South,Sutton Place/Turtle Bay North,16
Lincoln Square East,Union Sq,16
Penn Station/Madison Sq West,Alphabet City,16
Washington Heights North,Clinton East,16
Lenox Hill West,Greenwich Village South,16
Greenwich Village South,Two Bridges/Seward Park,16
Battery Park,Sutton Place/Turtle Bay North,16
Midtown South,Stuy Town/Peter Cooper Village,16
Greenwich Village South,Lincoln Square West,16
Washington Heights North,Yorkville West,16
West Chelsea/Hudson Yards,Flatiron,16
Sutton Place/Turtle Bay North,Midtown East,16
Newark Airport,Bedford,16
Midtown North,Clinton East,16
Hudson Sq,Flatiron,16
Upper West Side South,TriBeCa/Civic Center,16
LaGuardia Airport,West Chelsea/Hudson Yards,16
UN/Turtle Bay South,Battery Park City,16
East Harlem North,Bushwick South,16
Upper East Side South,Astoria,16
Greenwich Village North,West Village,16
Financial District North,Astoria,16
Midtown South,Astoria,16
Brooklyn Heights,Midtown North,16
Midtown North,Upper East Side South,16
Murray Hill,LaGuardia Airport,16
Yorkville West,Penn Station/Madison Sq West,16
Battery Park,Midtown South,16
Sutton Place/Turtle Bay North,Upper West Side South,16
Battery Park City,West Chelsea/Hudson Yards,16
Stuy Town/Peter Cooper Village,Midtown North,16
Seaport,Greenwich Village North,16
Seaport,Midtown East,16
Bushwick South,Union Sq,16
Union Sq,LaGuardia Airport,16
Seaport,Clinton East,16
Upper East Side North,Alphabet City,16
Greenwich Village South,Murray Hill,16
Gramercy,Sutton Place/Turtle Bay North,16
Midtown Center,Lower East Side,16
Brooklyn Heights,Upper West Side North,16
LaGuardia Airport,Garment District,16
LaGuardia Airport,Union Sq,16
Financial District South,East Harlem North,16
Midtown East,West Chelsea/Hudson Yards,16
SoHo,Penn Station/Madison Sq West,16
Lower East Side,Upper West Side South,16
Penn Station/Madison Sq West,Meatpacking/West Village West,16
West Chelsea/Hudson Yards,Union Sq,16
Yorkville East,Midtown Center,16
Gramercy,SoHo,16
Gramercy,West Chelsea/Hudson Yards,16
West Chelsea/Hudson Yards,LaGuardia Airport,16
Manhattan Valley,Yorkville West,16
TriBeCa/Civic Center,Garment District,16
Lenox Hill East,Union Sq,16
Upper West Side South,Upper East Side North,16
Meatpacking/West Village West,Penn Station/Madison Sq West,16
Clinton West,Alphabet City,16
Upper West Side North,Manhattan Valley,16
Brooklyn Heights,Bloomingdale,16
Hudson Sq,Lincoln Square West,16
Clinton East,Astoria,16
Meatpacking/West Village West,UN/Turtle Bay South,16
Garment District,Midtown Center,16
Upper West Side North,Penn Station/Madison Sq West,16
Lincoln Square East,Greenwich Village South,16
Alphabet City,Clinton East,16
Seaport,Sutton Place/Turtle Bay North,16
Times Sq/Theatre District,Midtown Center,16
Lower East Side,Alphabet City,16
Flatiron,Upper West Side South,16
Bushwick South,TriBeCa/Civic Center,16
Lincoln Square West,Financial District South,16
Murray Hill,Stuy Town/Peter Cooper Village,16
Lincoln Square East,East Chelsea,16
LaGuardia Airport,Two Bridges/Seward Park,16
Clinton East,Garment District,16
Garment District,Yorkville West,16
Stuy Town/Peter Cooper Village,LaGuardia Airport,16
Times Sq/Theatre District,Bushwick South,16
Clinton West,Lower East Side,16
Greenwich Village North,Garment District,16
Upper East Side South,Yorkville East,16
Penn Station/Madison Sq West,Financial District North,16
East Harlem North,Upper West Side North,16
Clinton West,Yorkville West,16
Lincoln Square East,Central Harlem,16
Union Sq,Battery Park,16
Seaport,Clinton West,16
Alphabet City,Midtown North,16
LaGuardia Airport,Financial District North,16
UN/Turtle Bay South,Washington Heights South,16
Upper East Side South,Clinton East,16
East Chelsea,Manhattan Valley,16
Bloomingdale,Manhattan Valley,16
Penn Station/Madison Sq West,Newark Airport,16
Astoria,East Harlem North,16
Financial District South,Greenwich Village North,16
Murray Hill,Greenwich Village North,16
JFK Airport,Midtown South,16
Midtown North,Bedford,16
West Village,Union Sq,16
East Chelsea,Midtown South,16
Midtown East,Yorkville West,16
Murray Hill,JFK Airport,16
Midtown Center,West Village,16
Times Sq/Theatre District,Central Harlem,16
UN/Turtle Bay South,West Chelsea/Hudson Yards,16
Bloomingdale,Yorkville East,16
Lenox Hill West,Financial District South,16
Washington Heights North,Upper East Side North,16
JFK Airport,Central Park,16
TriBeCa/Civic Center,Clinton West,16
West Chelsea/Hudson Yards,Midtown East,16
Sutton Place/Turtle Bay North,Lenox Hill East,16
Sutton Place/Turtle Bay North,West Village,16
Bushwick South,Lower East Side,16
Penn Station/Madison Sq West,Lincoln Square West,16
Meatpacking/West Village West,Midtown Center,16
Gramercy,Astoria,16
Clinton East,TriBeCa/Civic Center,16
Washington Heights North,East Harlem North,16
Financial District North,Greenwich Village South,16
Alphabet City,Battery Park City,16
Greenwich Village North,Midtown East,16
Brooklyn Heights,Battery Park,16
Lenox Hill West,East Chelsea,16
UN/Turtle Bay South,Midtown East,16
Hudson Sq,Bedford,16
Bloomingdale,Upper West Side North,16
Midtown Center,Seaport,16
SoHo,Seaport,16
Upper West Side South,Lower East Side,16
Times Sq/Theatre District,Financial District North,16
Hudson Sq,Hudson Sq,16
Lower East Side,Hudson Sq,16
Flatiron,Greenwich Village South,16
Financial District South,Lincoln Square West,16
Union Sq,Upper West Side South,16
Lenox Hill West,Lincoln Square West,16
Upper East Side North,SoHo,16
Lenox Hill West,Central Park,16
Gramercy,Gramercy,16
Washington Heights North,Midtown East,16
Stuy Town/Peter Cooper Village,Lenox Hill West,16
Central Harlem,Midtown Center,16
Garment District,Midtown South,16
Greenwich Village South,Financial District South,16
Lincoln Square East,TriBeCa/Civic Center,16
Washington Heights South,Upper West Side North,16
Upper East Side South,West Village,16
Alphabet City,Yorkville East,16
Midtown Center,LaGuardia Airport,16
Seaport,Newark Airport,16
Upper West Side South,East Chelsea,16
Stuy Town/Peter Cooper Village,Upper West Side South,16
Midtown Center,Hudson Sq,16
Greenwich Village North,Midtown North,16
Lenox Hill East,Lincoln Square West,16
Greenwich Village North,Midtown Center,16
Clinton East,Midtown Center,16
East Village,SoHo,16
Battery Park City,Brooklyn Heights,16
West Chelsea/Hudson Yards,Upper West Side South,16
Yorkville West,Gramercy,16
JFK Airport,Upper West Side South,16
Financial District South,Astoria,16
Midtown East,Financial District North,16
Financial District South,Washington Heights North,16
Upper West Side South,Hudson Sq,16
Alphabet City,Astoria,16
Garment District,Alphabet City,16
Bloomingdale,SoHo,16
Lincoln Square East,Bloomingdale,16
Battery Park,Clinton West,16
Lenox Hill West,Hudson Sq,16
Washington Heights North,Battery Park,16
Financial District North,Gramercy,16
Flatiron,Financial District North,16
Clinton East,Seaport,16
Midtown East,UN/Turtle Bay South,16
Washington Heights South,Brooklyn Heights,16
Lenox Hill West,Financial District North,16
Battery Park,Upper East Side South,16
Upper West Side North,Washington Heights South,16
Midtown South,Lincoln Square West,16
TriBeCa/Civic Center,Bedford,16
Upper West Side South,Washington Heights North,16
Upper East Side South,World Trade Center,16
UN/Turtle Bay South,UN/Turtle Bay South,16
Lenox Hill West,Clinton East,16
Upper East Side North,Brooklyn Heights,16
Manhattan Valley,Financial District North,16
Penn Station/Madison Sq West,Garment District,16
Battery Park City,West Village,16
Greenwich Village North,Manhattan Valley,16
UN/Turtle Bay South,Central Harlem,16
Alphabet City,JFK Airport,16
TriBeCa/Civic Center,Brooklyn Heights,16
Midtown East,Murray Hill,16
Lincoln Square West,Washington Heights South,16
Upper East Side South,Midtown East,16
Lincoln Square East,Washington Heights North,16
Upper East Side North,Stuy Town/Peter Cooper Village,16
Gramercy,Flatiron,15
East Harlem North,Lenox Hill West,15
Garment District,East Chelsea,15
Upper East Side South,Alphabet City,15
Alphabet City,Lincoln Square West,15
UN/Turtle Bay South,Meatpacking/West Village West,15
Astoria,Penn Station/Madison Sq West,15
Upper West Side North,Midtown North,15
Washington Heights South,Upper West Side South,15
TriBeCa/Civic Center,Two Bridges/Seward Park,15
Times Sq/Theatre District,Upper East Side North,15
Penn Station/Madison Sq West,Lenox Hill East,15
Flatiron,West Village,15
Greenwich Village South,UN/Turtle Bay South,15
Meatpacking/West Village West,Financial District South,15
Financial District South,Meatpacking/West Village West,15
Midtown South,East Village,15
Washington Heights North,Garment District,15
Lincoln Square East,LaGuardia Airport,15
Greenwich Village South,Astoria,15
Two Bridges/Seward Park,Hudson Sq,15
Battery Park,Bloomingdale,15
Greenwich Village North,Hudson Sq,15
Washington Heights South,West Chelsea/Hudson Yards,15
Times Sq/Theatre District,Meatpacking/West Village West,15
Sutton Place/Turtle Bay North,Greenwich Village North,15
Midtown North,Newark Airport,15
East Chelsea,Battery Park,15
West Village,TriBeCa/Civic Center,15
TriBeCa/Civic Center,Midtown South,15
Upper West Side South,West Village,15
TriBeCa/Civic Center,West Village,15
Clinton West,Flatiron,15
Lenox Hill West,Upper East Side South,15
Midtown East,Battery Park City,15
Astoria,Union Sq,15
Washington Heights South,Two Bridges/Seward Park,15
Greenwich Village North,Times Sq/Theatre District,15
East Chelsea,TriBeCa/Civic Center,15
Upper East Side South,SoHo,15
Upper West Side North,JFK Airport,15
Midtown North,Washington Heights South,15
Yorkville East,Gramercy,15
Lower East Side,World Trade Center,15
UN/Turtle Bay South,Midtown Center,15
Bushwick South,Central Park,15
Battery Park City,Bushwick South,15
Upper East Side South,JFK Airport,15
JFK Airport,Garment District,15
Upper East Side North,East Village,15
Lower East Side,Yorkville West,15
Lincoln Square East,Lenox Hill East,15
Financial District North,Bedford,15
Union Sq,Lenox Hill East,15
Lincoln Square West,Bushwick South,15
JFK Airport,East Chelsea,15
Murray Hill,Midtown Center,15
Two Bridges/Seward Park,Financial District South,15
East Harlem North,Stuy Town/Peter Cooper Village,15
East Village,Financial District South,15
Battery Park City,Alphabet City,15
Yorkville West,Washington Heights North,15
LaGuardia Airport,Astoria,15
Washington Heights South,West Village,15
East Village,Stuy Town/Peter Cooper Village,15
Newark Airport,JFK Airport,15
East Village,Lenox Hill East,15
Bushwick South,Financial District North,15
Central Harlem,Midtown South,15
Union Sq,Garment District,15
Lincoln Square West,Murray Hill,15
Penn Station/Madison Sq West,Lincoln Square East,15
Midtown North,Lower East Side,15
Lower East Side,Financial District South,15
West Chelsea/Hudson Yards,Two Bridges/Seward Park,15
Financial District North,Murray Hill,15
TriBeCa/Civic Center,Central Park,15
Bloomingdale,Bushwick South,15
Washington Heights North,Murray Hill,15
JFK Airport,World Trade Center,15
Bedford,Battery Park,15
Murray Hill,Lower East Side,15
UN/Turtle Bay South,TriBeCa/Civic Center,15
SoHo,Hudson Sq,15
Financial District South,Seaport,15
West Village,Seaport,15
Lower East Side,Newark Airport,15
Yorkville East,Lincoln Square West,15
Flatiron,Garment District,15
Union Sq,Two Bridges/Seward Park,15
TriBeCa/Civic Center,Hudson Sq,15
Midtown Center,Midtown North,15
Yorkville East,West Village,15
Financial District South,Midtown East,15
Central Harlem,Stuy Town/Peter Cooper Village,15
Garment District,LaGuardia Airport,15
East Village,Seaport,15
West Village,Garment District,15
Union Sq,Battery Park City,15
LaGuardia Airport,Upper West Side North,15
Financial District South,Washington Heights South,15
Manhattan Valley,Murray Hill,15
Newark Airport,Midtown Center,15
Seaport,Two Bridges/Seward Park,15
Clinton West,Upper West Side South,15
Times Sq/Theatre District,Midtown South,15
Seaport,Flatiron,15
Greenwich Village South,Bushwick South,15
SoHo,Union Sq,15
Midtown Center,East Harlem North,15
Lincoln Square East,Lenox Hill West,15
Lincoln Square West,West Chelsea/Hudson Yards,15
Midtown South,Murray Hill,15
Manhattan Valley,Brooklyn Heights,15
Murray Hill,Washington Heights North,15
Lincoln Square West,JFK Airport,15
Upper West Side North,Financial District South,15
Union Sq,JFK Airport,15
East Village,Yorkville East,15
Central Park,Garment District,15
Bushwick South,West Chelsea/Hudson Yards,15
Brooklyn Heights,Hudson Sq,15
Upper East Side North,Clinton East,15
Yorkville East,Central Harlem,15
Lincoln Square West,Upper West Side North,15
Astoria,Yorkville East,15
Two Bridges/Seward Park,World Trade Center,15
Penn Station/Madison Sq West,West Chelsea/Hudson Yards,15
Newark Airport,Bloomingdale,15
Union Sq,UN/Turtle Bay South,15
Greenwich Village North,Central Park,15
Murray Hill,Midtown South,15
Upper East Side South,Greenwich Village North,15
Hudson Sq,Meatpacking/West Village West,15
Midtown Center,Greenwich Village South,15
East Village,Penn Station/Madison Sq West,15
Battery Park City,Upper East Side South,15
Battery Park City,LaGuardia Airport,15
East Village,Midtown Center,15
Garment District,Sutton Place/Turtle Bay North,15
Penn Station/Madison Sq West,Upper East Side North,15
Greenwich Village South,Gramercy,15
Lincoln Square West,SoHo,15
Manhattan Valley,Two Bridges/Seward Park,15
Upper East Side South,Upper West Side South,15
World Trade Center,Seaport,15
Central Harlem,Central Park,15
East Village,West Chelsea/Hudson Yards,15
Lower East Side,Yorkville East,15
Yorkville East,Penn Station/Madison Sq West,15
Washington Heights South,Midtown Center,15
Murray Hill,Sutton Place/Turtle Bay North,15
Central Park,Sutton Place/Turtle Bay North,15
Lincoln Square West,Newark Airport,15
East Harlem North,Flatiron,15
Flatiron,Yorkville East,15
Battery Park City,Lenox Hill East,15
LaGuardia Airport,Greenwich Village South,15
Bedford,Garment District,15
UN/Turtle Bay South,Washington Heights North,15
UN/Turtle Bay South,Garment District,15
Sutton Place/Turtle Bay North,World Trade Center,15
Financial District South,East Village,15
Bushwick South,Upper East Side South,15
Midtown North,Sutton Place/Turtle Bay North,15
Hudson Sq,Central Park,15
Gramercy,Union Sq,15
Manhattan Valley,UN/Turtle Bay South,15
Lower East Side,Financial District North,15
UN/Turtle Bay South,Financial District South,15
World Trade Center,Yorkville West,15
Garment District,Murray Hill,15
Hudson Sq,Financial District North,15
Washington Heights North,JFK Airport,15
West Chelsea/Hudson Yards,Lower East Side,15
Gramercy,LaGuardia Airport,15
Upper East Side South,Lenox Hill East,15
Manhattan Valley,Seaport,15
Greenwich Village North,Flatiron,15
Midtown Center,TriBeCa/Civic Center,15
JFK Airport,Midtown East,15
West Village,World Trade Center,15
World Trade Center,Garment District,15
Washington Heights South,Sutton Place/Turtle Bay North,15
Newark Airport,Financial District North,15
Seaport,Financial District North,15
Newark Airport,Lenox Hill East,15
Brooklyn Heights,Midtown South,15
Washington Heights North,LaGuardia Airport,15
Penn Station/Madison Sq West,Upper East Side South,15
Meatpacking/West Village West,Upper West Side South,15
Bedford,UN/Turtle Bay South,15
Seaport,Bedford,15
UN/Turtle Bay South,Union Sq,15
Midtown South,Washington Heights North,15
West Chelsea/Hudson Yards,Newark Airport,15
East Chelsea,East Chelsea,15
Astoria,Two Bridges/Seward Park,15
Lincoln Square East,SoHo,15
East Chelsea,Upper West Side North,15
LaGuardia Airport,Brooklyn Heights,15
Lincoln Square East,Newark Airport,15
JFK Airport,Lenox Hill West,15
Sutton Place/Turtle Bay North,Seaport,15
TriBeCa/Civic Center,Bloomingdale,15
Newark Airport,LaGuardia Airport,15
Flatiron,Sutton Place/Turtle Bay North,15
Brooklyn Heights,Financial District North,15
West Village,Upper East Side South,15
Garment District,Times Sq/Theatre District,15
LaGuardia Airport,Lincoln Square West,15
LaGuardia Airport,East Harlem North,15
Brooklyn Heights,East Chelsea,15
Midtown Center,Alphabet City,15
East Chelsea,East Harlem North,15
Central Harlem,Garment District,15
Newark Airport,Clinton East,15
Financial District South,Manhattan Valley,15
Clinton West,Manhattan Valley,15
Bushwick South,Two Bridges/Seward Park,15
Brooklyn Heights,Two Bridges/Seward Park,15
Upper West Side North,Murray Hill,15
Murray Hill,Lenox Hill West,15
West Village,Washington Heights South,15
Financial District North,LaGuardia Airport,15
Midtown East,Seaport,15
Upper West Side North,Greenwich Village South,15
Stuy Town/Peter Cooper Village,Times Sq/Theatre District,15
Sutton Place/Turtle Bay North,Lenox Hill West,15
Manhattan Valley,TriBeCa/Civic Center,15
Lincoln Square East,Hudson Sq,15
Flatiron,Midtown East,15
Battery Park,Yorkville West,15
Astoria,LaGuardia Airport,15
Penn Station/Madison Sq West,Central Harlem,15
Union Sq,East Harlem North,15
Midtown Center,Two Bridges/Seward Park,15
Midtown Center,Brooklyn Heights,15
Stuy Town/Peter Cooper Village,Yorkville East,15
Central Park,Two Bridges/Seward Park,15
West Village,Midtown East,15
JFK Airport,East Harlem North,15
Lincoln Square East,Yorkville East,15
Garment District,East Village,15
Newark Airport,Stuy Town/Peter Cooper Village,15
Garment District,Brooklyn Heights,15
Yorkville East,Central Park,15
Garment District,Washington Heights South,15
Stuy Town/Peter Cooper Village,UN/Turtle Bay South,15
Financial District South,Lenox Hill East,15
Battery Park,Hudson Sq,15
Bushwick South,Washington Heights North,15
Financial District South,TriBeCa/Civic Center,15
Washington Heights South,TriBeCa/Civic Center,15
Flatiron,Midtown Center,15
Financial District North,Stuy Town/Peter Cooper Village,15
East Village,Financial District North,15
Newark Airport,Battery Park City,15
Stuy Town/Peter Cooper Village,Lincoln Square East,15
Bedford,East Harlem North,15
Midtown South,Newark Airport,15
Bedford,Central Park,15
West Village,Murray Hill,15
Battery Park City,Hudson Sq,15
Midtown North,World Trade Center,15
Upper West Side North,Yorkville East,15
Lincoln Square East,Manhattan Valley,15
World Trade Center,Greenwich Village North,15
Two Bridges/Seward Park,East Harlem North,15
East Chelsea,Bedford,15
Lincoln Square West,Midtown East,15
Astoria,East Chelsea,15
Alphabet City,World Trade Center,15
Bushwick South,East Village,15
Central Harlem,Two Bridges/Seward Park,15
UN/Turtle Bay South,Flatiron,15
East Chelsea,Upper East Side South,15
West Chelsea/Hudson Yards,Bushwick South,15
Penn Station/Madison Sq West,Yorkville East,15
Bushwick South,Flatiron,15
Washington Heights South,Yorkville East,15
Upper West Side North,Yorkville West,15
Newark Airport,Alphabet City,15
Lower East Side,Central Park,15
Lower East Side,Clinton West,15
Two Bridges/Seward Park,Central Park,15
Times Sq/Theatre District,Two Bridges/Seward Park,15
Meatpacking/West Village West,Bloomingdale,15
Meatpacking/West Village West,Battery Park City,15
Washington Heights North,Greenwich Village North,15
Alphabet City,Midtown Center,15
Bloomingdale,Flatiron,15
Central Park,Meatpacking/West Village West,15
Flatiron,Upper West Side North,15
Penn Station/Madison Sq West,Hudson Sq,15
Astoria,SoHo,15
Sutton Place/Turtle Bay North,LaGuardia Airport,15
